,FECHA,HORA DECLARADA,RUTA,OPERADOR,TIPO_AERONAVE,PERSONAS_ABORDO,PASAJEROS A BORDO,TRIPULACION_ABORDO,CANTIDAD DE FALLECIDOS,PASAJEROS_FALLECIDOS,TRIPULACION_FALLECIDA,DESCRIPCION_ACCIDENTE,DÉCADA,AÑO
110,1936-02-15,03:52:00,South Atlantic Ocean,Deutsche Lufthansa,Dormier Do-J-Iif Bos Wal flying boat,4,0,4,4,0.0,4.0,The mail plane disappeared while en route.,1930,1936
111,1936-03-26,11:00:00,"Amemeca, Mexico",Mexicana,Ford 5-AT-B Tri Motor,14,10,4,14,10.0,4.0,"While making a turn at low speed, the aircraft stalled and crashed into mountains and caught fire.  The plane was carrying mainly German tourists. Possibly caught in a down draft when flying too low to the ground.",1930,1936
112,1936-04-01,19:10:00,"Pavillon, New York",American Airlines,Stinson Model A,2,0,2,2,0.0,2.0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.,1930,1936
113,1936-04-07,10:20:00,"Uniontown, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,14,11,3,12,10.0,2.0,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",1930,1936
114,1936-04-11,05:20:00,"Port of Spain, Trinidad",Pan American Airways,Sikorsky S-42A  Flying Boat,25,18,7,3,2.0,1.0,"Crashed  while taking off after the plane hit a boat . The aircraft was shipped to Miami and repaired. One of the injured passengers was Jose Iturbi, well known conductor and  pianist.",1930,1936
115,1936-06-16,07:00:00,"Mt. Lihesten, Norway",Den Norske Luftfartskole,Junkers JU-52/3m,7,3,4,7,3.0,4.0,"While cruising, the aircraft crashed into the south face of Mt. Lyhesten in fog.",1930,1936
116,1936-07-31,19:30:00,"Off Channel Islands, Jersey",Guernsey Airways,Saro A-19 Cloud,10,8,2,10,8.0,2.0,Ditched at sea. Loss of all engines necessitating a ditching at sea.,1930,1936
117,1936-08-02,06:00:00,"Mazamet, France",Air France,Wibault 280,3,0,3,3,0.0,3.0,The mail plane crashed into mountains 50 miles from Toulouse in fog.,1930,1936
118,1936-08-05,22:00:00,"St. Louis, Missouri",Chicago Southern Airlines,Lockheed 10B Electra,8,6,2,8,6.0,2.0,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground.",1930,1936
119,1936-08-12,03:00:00,"Altenkirchen, Germany",British Airways,De Havilland DH-86,2,0,2,2,0.0,2.0,The mail plane crashed at night under unknown circumstances.,1930,1936
120,1936-09-05,22:00:00,"Near Pittsburgh, Pennsylvania",Pittsburgh Skyways Inc.,Stinson SM 6000B,11,10,1,10,9.0,1.0,Lost all three engines after the fuel supply was cut off. Possibly a passenger shut off the fuel supply by accident with the heel of her shoe. One 17 year old girl survived.,1930,1936
121,1936-11-01,15:00:00,"Near Tabarz, Germany",Deutsche Lufthansa,Junkers JU-52,15,12,3,11,8.0,3.0,"While encountering heavy fog the aircraft was flying too low and hit tree tops before crashing into flames in a wooded area. It was believed that the pilot had ‘lost his bearings’ while flying in a heavy fog, resulting in either a controlled impact with the terrain or an uncontrolled descent into the ground.",1930,1936
122,1936-11-17,14:00:00,"Nurnberg, Germany",Deutsche Lufthansa,Junkers JU-52/3m,16,13,3,4,3.0,1.0,"On approach to Nuremberg Airport in foggy conditions, the aircraft deviated from the prescribed course and was too low when it hit tree tops and crashed in a wooded area. Pilot error.",1930,1936
123,1936-11-19,03:38:00,"London, England",British Airways,Fokker F-XII,4,0,4,2,0.0,2.0,The mail plane attempted to land in strong winds and poor weather conditons. Pilot error.,1930,1936
124,1936-12-04,12:00:00,"Near Grenoble, France",Deutsche Lufthansa,Junkers JU-52/3m,6,3,3,6,3.0,3.0,"Crashed into the French Alps  in high winds. The plane was named ""Rudolf Windisch.""",1930,1936
125,1936-12-07,10:47:00,"Off Dakar, French West Africa",Air France,Latécoère 300 (float plane.,5,1,4,5,1.0,4.0,"The last message from the aviator was ""we have switched off the rear engine."" The plane and crew of four were never found. Aviator Jean Mermoz killed.",1930,1936
126,1936-12-09,10:30:00,"Croydon, England",KLM Royal Dutch Airlines,Douglas DC-2-115E,17,13,4,15,12.0,3.0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cierva killed. Pilot error. Piilot did not maintain directional control of the aircraft and abort the takeoff,1930,1936
127,1936-12-15,03:14:00,"Near Salt Lake City, Utah",Western Air Express,Boeing 247D,7,4,3,7,4.0,3.0,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local static condition which rendered both range receivers in the airplane inoperative.,1930,1936
128,1936-12-18,03:23:00,"Kellogg, Idaho",Northwest Orient Airlines,Lockheed 10 Electra,2,0,2,2,0.0,2.0,"The mail plane crashed into Early Creek Ridge, 15 miles south of Kellogg, in a blizzard. Pilot error in not following the radio range course upon leaving Missoula and failing to ascent to a safe altitude over the course pursued from Elk River.",1930,1936
129,1936-12-19,20:47:00,"Near Milford, Pennsylvania",Eastern Air Lines,Douglas DC-2-112,11,8,3,0,0.0,0.0,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and static conditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.",1930,1936
130,1936-12-27,19:38:00,"Newhall, California",United Air Lines,Boeing 247D,12,10,2,12,10.0,2.0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.",1930,1936
131,1937-01-11,10:30:00,"Near Playa V icente, Veracruz, Mexico",Mexicana,Lockheed 10E Electra,9,6,3,9,6.0,3.0,"After starting a descent, the aircraft crashed into Playa Vincente in adverse weather.",1930,1937
132,1937-01-12,11:07:00,"Near Newhall, California",Western Air Express,Boeing 247D,13,11,2,5,4.0,1.0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital.",1930,1937
133,1937-01-26,17:30:00,"Oran, Algeria",Sabena,Sabca S-73,12,8,4,12,8.0,4.0,While attempting to land the aircraft went out of control and crashed.,1930,1937
134,1937-02-09,20:50:00,"Off San Francisco, California",United Air Lines,Douglas DC-3A,11,9,2,11,9.0,2.0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.",1930,1937
135,1937-02-19,13:40:00,"McPherson Ranges, Queensland, Australia",Airlines of Australia,Stinson Model A,7,5,2,5,3.0,2.0,Flying low to maintain visual contact with the ground the plane ran into downdrafts that exceeded its ability to climb. The plane crashed and burned.,1930,1937
136,1937-03-24,14:00:00,"Near Ouroux, France",Imperial Airways,Short  S-23 (flying boat),6,1,5,5,1.0,4.0,Crashed into trees on a mountainside in a snowstorm.,1930,1937
137,1937-03-25,18:40:00,"Clifton, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,13,10,3,13,10.0,3.0,While attempting to land the aircraft banked left and crashed short of the runway. Heavy icing which rendered the plane uncontrollable.,1930,1937
138,1937-05-06,19:25:00,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,Zeppelin LZ-129,97,36,61,35,13.0,22.0,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were static discharge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a static discharge between the Hindenburg's outer skin and frame causing the hydrogen to ignite.",1930,1937
139,1937-07-28,10:40:00,"Hal, Belgium",KLM Royal Dutch Airlines,Douglas DC-2-115L,15,10,5,15,10.0,5.0,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.,1930,1937
140,1937-08-02,19:38:00,"Off Cristobal, Panama",Pan American Grace Airways,Sikorsky S-43,14,11,3,14,11.0,3.0,The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.,1930,1937
141,1937-08-08,10:50:00,"Chilang Point, Bias Bay, China",China National Aviation Corporation,Sikorsky S-43,11,8,3,3,0.0,3.0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued. The aircraft was named Chekiang.,1930,1937
142,1937-08-10,04:40:00,"Daytona Beach, Florida",Eastern Air Lines,Douglas DC-2,9,7,2,4,2.0,2.0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.,1930,1937
143,1937-10-06,12:25:00,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,Douglas DC-3,11,7,4,4,1.0,3.0,"While in initial climb, the left engine failed. The crew decided to return for a safe landing but the aircraft hit  tree tops, stalled and crashed. Bronislaw Hubermann, celibrated Polish violinist was sightly injured. The aircraft was named ""Specht"".",1930,1937
144,1937-10-17,21:00:00,"Haydens Peak, Wyoming",United Air Lines,Douglas DC-3,19,16,3,19,16.0,3.0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.",1930,1937
145,1937-10-27,04:23:00,Off Western Africa,Air France,Dewoitine D-333,7,2,5,7,2.0,5.0,Disappeared after sending a distress call while en route. Apparently crashed into the sea.,1930,1937
146,1937-11-12,16:50:00,"Mannheim, Germany",Deutsche Lufthansa,Heinkel He-111,12,9,3,10,7.0,3.0,Hit the ground short of the runway while attempting to land in fog. The aircraft was named aircraft Köln.,1930,1937
147,1937-11-16,15:30:00,"Ostende, Belgium",Sabena,Junkers JU-52/3m,11,8,3,11,8.0,3.0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather
conditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility.",1930,1937
148,1937-12-05,09:00:00,"Brindisi Harbor, Italy",Imperial Airways,Short Empire Flying Boat,19,13,6,2,1.0,1.0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,1930,1937
149,1937-12-24,17:30:00,"Kasperske Hory, Czechoslovakia",Air France,Wibault 283-T12,3,1,2,3,1.0,2.0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error. The aircraft named 'Le Glorieux",1930,1937
150,1938-01-10,15:07:00,"Bozeman, Montana",Northwest Orient Airlines,Lockheed 14H Super Electra,10,8,2,10,8.0,2.0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft.",1930,1938
151,1938-01-11,08:03:00,"Pago Pago, U.S. Samoa",Pan American World Airways,Sikorsky S-42 (flying boat),7,0,7,7,0.0,7.0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed.",1930,1938
